fecha;demanda_sistemica_mw;media_movil_30d;Mes;Dia_Semana
2006-11-30;7400,6900000000005;7119,213999999999;11;3
2006-12-01;7182,960000000001;7137,2339999999995;12;4
2006-12-02;6981,139999999999;7135,027666666667;12;5
2006-12-03;6688,02;7118,890333333333;12;6
2006-12-04;7365,33;7136,979333333334;12;0
2006-12-05;7338,55;7159,665333333333;12;1
2006-12-06;7320,22;7162,850333333334;12;2
2006-12-07;7112,379999999999;7157,173666666667;12;3
2006-12-08;6974,799999999999;7147,4113333333335;12;4
2006-12-09;6807,11;7130,995666666667;12;5
2006-12-10;6793,34;7114,778;12;6
2006-12-11;7383,36;7131,517666666667;12;0
2006-12-12;7309,4;7153,164000000001;12;1
2006-12-13;7274,5199999999995;7153,939333333333;12;2
2006-12-14;7415,1;7160,2029999999995;12;3
2006-12-15;7381,76;7164,359333333333;12;4
2006-12-16;6988,1900000000005;7156,931666666666;12;5
2006-12-17;6948,55;7153,086;12;6
2006-12-18;7512,7699999999995;7178,3533333333335;12;0
2006-12-19;7500,92;7205,372666666667;12;1
2006-12-20;7467,04;7211,818666666667;12;2
2006-12-21;7559,14;7221,604333333334;12;3
2006-12-22;7425,82;7226,252333333334;12;4
2006-12-23;7015,85;7216,300666666666;12;5
2006-12-24;6493,7;7191,460333333333;12;6
2006-12-25;6401,92;7172,636333333333;12;0
2006-12-26;7330,400000000001;7189,855;12;1
2006-12-27;7438,57;7191,4366666666665;12;2
2006-12-28;7417,38;7189,0763333333325;12;3
2006-12-29;7290,0599999999995;7183,966333333333;12;4
2006-12-30;6896,493333333333;7167,159777777778;12;5
2006-12-31;6502,926666666667;7144,492;12;6
2007-01-01;6109,360000000001;7115,432666666667;1;0
2007-01-02;7122,47;7129,914333333333;1;1
2007-01-03;7452,9400000000005;7132,834666666666;1;2
2007-01-04;7396,43;7134,764;1;3
2007-01-05;7467,19;7139,6630000000005;1;4
2007-01-06;7070,09;7138,253333333333;1;5
2007-01-07;6913,4400000000005;7136,2080000000005;1;6
2007-01-08;7411,469999999999;7156,3533333333335;1;0
2007-01-09;7377,68;7175,8313333333335;1;1
2007-01-10;7281,67;7172,441666666667;1;2
2007-01-11;7349,4800000000005;7173,777666666666;1;3
2007-01-12;7474,45;7180,442;1;4
2007-01-13;7052,94;7168,37;1;5
2007-01-14;6895,19;7152,151;1;6
2007-01-15;7470,59;7168,231000000001;1;0
2007-01-16;7347,3;7181,522666666667;1;1
2007-01-17;7359,87;7176,426;1;2
2007-01-18;7307,83;7169,989666666666;1;3
2007-01-19;7327,849999999999;7165,35;1;4
2007-01-20;7027,69;7147,634999999999;1;5
2007-01-21;6727,62;7124,361666666666;1;6
2007-01-22;7278,1900000000005;7133,106333333333;1;0
2007-01-23;7324,72;7160,807;1;1
2007-01-24;7338,36;7192,0216666666665;1;2
2007-01-25;7375,87;7193,537333333333;1;3
2007-01-26;7224,61;7186,405333333332;1;4
2007-01-27;6874,11;7168,296333333334;1;5
2007-01-28;6650,17;7146,966666666666;1;6
2007-01-29;7300,2699999999995;7160,425888888889;1;0
2007-01-30;7469,009999999999;7192,6286666666665;1;1
2007-01-31;7371,049999999999;7234,6849999999995;1;2
2007-02-01;7239,650000000001;7238,591;2;3
2007-02-02;7218,17;7230,765333333334;2;4
2007-02-03;6773,69;7210,007333333333;2;5
2007-02-04;6597,51;7181,017999999999;2;6
2007-02-05;7176,8099999999995;7184,575333333332;2;0
2007-02-06;7209,259999999999;7194,436;2;1
2007-02-07;7183,719999999999;7186,8443333333325;2;2
2007-02-08;7158,860000000001;7179,550333333333;2;3
2007-02-09;7210,049999999999;7177,1630000000005;2;4
2007-02-10;6960,650000000001;7164,202;2;5
2007-02-11;6555,27;7133,562666666666;2;6
2007-02-12;7344,84;7143,292666666665;2;0
2007-02-13;7220,12;7154,123666666667;2;1
2007-02-14;7286,639999999999;7147,991999999999;2;2
2007-02-15;7324,63;7147,236333333333;2;3
2007-02-16;6990,14;7134,911999999999;2;4
2007-02-17;6801,15;7118,022666666667;2;5
2007-02-18;6616,799999999999;7094,321;2;6
2007-02-19;7318,460000000001;7104,013333333333;2;0
2007-02-20;7434,55;7127,577666666667;2;1
2007-02-21;7559,29;7136,947666666666;2;2
2007-02-22;7484,13;7142,261333333333;2;3
2007-02-23;7439,799999999999;7145,642666666667;2;4
2007-02-24;7045,4800000000005;7134,629666666666;2;5
2007-02-25;6964,74;7125,967333333334;2;6
2007-02-26;7598,469999999999;7150,112666666667;2;0
2007-02-27;7675,34;7184,285000000001;2;1
2007-02-28;7507,360000000001;7191,187999999999;2;2
2007-03-01;7517,200000000001;7192,794333333334;3;3
2007-03-02;7499,14;7197,063999999999;3;4
2007-03-03;7062,75;7191,167333333333;3;5
2007-03-04;6881,03;7179,929333333333;3;6
2007-03-05;7523,99;7204,939333333333;3;0
2007-03-06;7529,87;7236,018;3;1
2007-03-07;7531,45;7247,839333333333;3;2
2007-03-08;7442,75;7255,622333333333;3;3
2007-03-09;7498,639999999999;7266,1196666666665;3;4
2007-03-10;7200,129999999999;7267,495333333334;3;5
2007-03-11;6948,990000000001;7258,793333333333;3;6
2007-03-12;7639,7;7281,428333333333;3;0
2007-03-13;7778,07;7322,188333333334;3;1
2007-03-14;7713,07;7334,462666666667;3;2
2007-03-15;7759,51;7352,442333333333;3;3
2007-03-16;7809,61;7369,874666666667;3;4
2007-03-17;7377,51;7371,637333333333;3;5
2007-03-18;7070,75;7374,324333333333;3;6
2007-03-19;7610,29;7401,295666666667;3;0
2007-03-20;7726,969999999999;7438,301333333334;3;1
2007-03-21;7823,0;7455,119333333334;3;2
2007-03-22;7760,34;7465,979;3;3
2007-03-23;7808,89;7474,299;3;4
2007-03-24;7380,68;7470,850666666667;3;5
2007-03-25;7095,639999999999;7459,3786666666665;3;6
2007-03-26;7701,27;7481,238333333334;3;0
2007-03-27;7729,17;7506,7193333333325;3;1
2007-03-28;7722,82;7510,864333333333;3;2
2007-03-29;7603,400000000001;7508,466333333333;3;3
2007-03-30;7710,59;7515,240666666667;3;4
2007-03-31;7250,57;7506,353;3;5
2007-04-01;7039,4400000000005;7491,029666666667;4;6
2007-04-02;7843,950000000001;7517,069666666667;4;0
2007-04-03;7825,48;7548,551333333334;4;1
2007-04-04;7880,599999999999;7560,4383333333335;4;2
2007-04-05;7732,43;7567,190333333333;4;3
2007-04-06;6854,82;7544,636;4;4
2007-04-07;6818,129999999999;7523,815333333334;4;5
2007-04-08;7001,87;7507,256333333334;4;6
2007-04-09;7762,799999999999;7526,012;4;0
2007-04-10;7674,929999999999;7550,21;4;1
2007-04-11;7704,459999999999;7552,368666666666;4;2
2007-04-12;7763,13;7551,870666666667;4;3
2007-04-13;7789,9400000000005;7554,433;4;4
2007-04-14;7342,889999999999;7540,545666666667;4;5
2007-04-15;7043,51;7515,009000000001;4;6
2007-04-16;7954,71;7534,249;4;0
2007-04-17;7824,04;7559,358666666667;4;1
2007-04-18;7915,3;7569,525666666666;4;2
2007-04-19;7852,5599999999995;7573,7119999999995;4;3
2007-04-20;7836,46;7574,160666666666;4;4
2007-04-21;7327,43;7559,730333333334;4;5
2007-04-22;7136,41;7537,314333333334;4;6
2007-04-23;7983,4400000000005;7557,406333333333;4;0
2007-04-24;8027,790000000001;7588,478;4;1
2007-04-25;7906,31;7595,312666666666;4;2
2007-04-26;7911,68;7601,396333333334;4;3
2007-04-27;7899,97;7607,301333333334;4;4
2007-04-28;7334,46;7598,336666666667;4;5
2007-04-29;7006,46;7574,865666666667;4;6
2007-04-30;7498,2;7583,12;4;0
2007-05-01;6702,58;7571,891333333333;5;1
2007-05-02;7111,43;7547,473999999999;5;2
2007-05-03;6960,29;7518,634333333333;5;3
2007-05-04;7257,05;7497,849333333334;5;4
2007-05-05;7082,2;7476,175;5;5
2007-05-06;6882,71;7477,104666666666;5;6
2007-05-07;7296,46;7493,049;5;0
2007-05-08;7170,030000000001;7498,654333333334;5;1
2007-05-09;6987,25;7472,802666666667;5;2
2007-05-10;7267,97;7459,237333333334;5;3
2007-05-11;7393,8099999999995;7448,882333333333;5;4
2007-05-12;7044,53;7424,929;5;5
2007-05-13;6806,86;7392,1596666666655;5;6
2007-05-14;7259,009999999999;7389,363666666667;5;0
2007-05-15;7412,83;7401,6743333333325;5;1
2007-05-16;7270,549999999999;7378,869000000001;5;2
2007-05-17;7321,719999999999;7362,125;5;3
2007-05-18;7333,99;7342,7480000000005;5;4
2007-05-19;7152,91;7319,426333333334;5;5
2007-05-20;6819,97;7285,543333333334;5;6
2007-05-21;7163,6;7280,082333333334;5;0
2007-05-22;7396,71;7288,759;5;1
2007-05-23;7320,28;7266,653666666667;5;2
2007-05-24;7200,0599999999995;7239,062666666667;5;3
2007-05-25;7467,75;7224,444;5;4
2007-05-26;7266,41;7202,9349999999995;5;5
2007-05-27;7075,299999999999;7175,445999999999;5;6
2007-05-28;7475,400000000001;7180,144;5;0
2007-05-29;7559,97;7198,5943333333325;5;1
2007-05-30;7475,1866666666665;7197,827222222221;5;2
2007-05-31;7390,403333333334;7220,754666666667;5;3
2007-06-01;7305,62;7227,227666666668;6;4
2007-06-02;7121,46;7232,6;6;5
2007-06-03;6880,200000000001;7220,038333333333;6;6
2007-06-04;7382,18;7230,037666666667;6;0
2007-06-05;7410,36;7247,626;6;1
2007-06-06;7441,27;7252,4529999999995;6;2
2007-06-07;7362,3099999999995;7258,8623333333335;6;3
2007-06-08;7542,52;7277,371333333333;6;4
2007-06-09;7201,57;7275,157999999999;6;5
2007-06-10;7058,04;7263,965666666667;6;6
2007-06-11;7691,33;7285,525666666666;6;0
2007-06-12;7636,549999999999;7313,182;6;1
2007-06-13;7694,06;7327,683666666667;6;2
2007-06-14;7733,0;7338,356000000001;6;3
2007-06-15;7593,75;7349,129333333333;6;4
2007-06-16;7223,4;7345,852;6;5
2007-06-17;7009,200000000001;7335,025666666666;6;6
2007-06-18;7508,88;7346,891333333333;6;0
2007-06-19;7676,34;7375,437;6;1
2007-06-20;7561,210000000001;7388,690666666666;6;2
2007-06-21;7516,18;7392,673;6;3
2007-06-22;7807,9;7408,927;6;4
2007-06-23;7348,9800000000005;7413,8910000000005;6;5
2007-06-24;7084,59;7401,119000000001;6;6
2007-06-25;7484,88;7408,401333333333;6;0
2007-06-26;7496,93;7422,455666666667;6;1
2007-06-27;7480,5199999999995;7422,626333333334;6;2
2007-06-28;7302,95;7414,059;6;3
2007-06-29;7295,73;7408,077111111112;6;4
2007-06-30;7123,75;7399,188666666667;6;5
2007-07-01;6730,860000000001;7380,03;7;6
2007-07-02;7077,87;7378,577;7;0
2007-07-03;7317,28;7393,146333333333;7;1
2007-07-04;7159,58;7385,726333333334;7;2
2007-07-05;7249,26;7380,356333333333;7;3
2007-07-06;7245,38;7373,826666666666;7;4
2007-07-07;6996,22;7361,623666666666;7;5
2007-07-08;7019,78;7344,199;7;6
2007-07-09;7370,72;7349,837333333333;7;0
2007-07-10;7338,15;7359,1743333333325;7;1
2007-07-11;7324,639999999999;7346,951333333333;7;2
2007-07-12;7591,61;7345,453333333334;7;3
2007-07-13;7596,070000000001;7342,187;7;4
2007-07-14;7075,46;7320,268999999999;7;5
2007-07-15;6757,9;7292,407333333334;7;6
